Type,Title,Authors/Maintainers,Date/Version,Abstract/Description,URL,Relevance Rating (1-5),Category,Key Insight,Integration Feasibility
Paper,"Choosing How to Remember: Adaptive Memory Structures for LLM Agents","Mingfei Lu et al.",Feb 2026,"Proposes FluxMem, a framework for adaptive memory organization in AI agents. Addresses one-size-fits-all memory structure limitations by enabling context-adaptive memory structure selection with a three-level memory hierarchy and probabilistic fusion. Achieved 9.18% and 6.14% improvements on two benchmarks.",https://arxiv.org/abs/2602.14038,5,episodic-memory,"Context-adaptive memory selection is critical — different tasks need different memory structures, directly relevant to our specialisation goal",Medium
Paper,"HyMem: Hybrid Memory Architecture with Dynamic Retrieval Scheduling","Xiaochen Zhao, Kaikai Wang, Xiaowen Zhang, Chen Yao, Aili Wang",Feb 2026,"Proposes a hybrid memory architecture with multi-granular memory representations. Uses dual-granular storage scheme with dynamic two-tier retrieval system. Reduces computational cost by 92.6% while outperforming full-context approaches on LOCOMO and LongMemEval benchmarks.",https://arxiv.org/abs/2602.13933,4,RAG,"Dual-granular storage (summary + detail) with dynamic retrieval scheduling — applicable to our tiered memory approach",Medium
Paper,"The Pensieve Paradigm: Stateful Language Models Mastering Their Own Context","Xiaoyuan Liu et al.",Feb 2026,"Introduces StateLM with internal reasoning loop for context management. Equips models with memory tools like context pruning, document indexing, and note-taking. Achieved 10-20% accuracy improvement on chat memory tasks and up to 52% on deep research vs 5% for standard LLMs.",https://arxiv.org/abs/2602.12108,4,semantic-memory,"Self-managing memory tools (pruning, indexing, note-taking) can be given to agents as tools rather than building separate memory infrastructure",Medium
Paper,"ProcMEM: Learning Reusable Procedural Memory from Experience via Non-Parametric PPO for LLM Agents","Qirui Mi, Zhijian Ma, Mengyue Yang, Haoxuan Li, Yisen Wang, Haifeng Zhang, Jun Wang",Feb 2026,"Framework enabling agents to autonomously learn procedural memory from interaction experiences. Transforms passive episodic narratives into executable Skills defined by activation, execution, and termination conditions. Uses Non-Parametric PPO for skill generation without parameter updates.",https://arxiv.org/abs/2602.01869,5,procedural-memory,"Transforming episodic experience into reusable procedural skills is exactly what we need for turning error/fix learnings into step-by-step procedures",Hard
Paper,"MIRIX: Multi-Agent Memory System for LLM-Based Agents","Yu Wang, Xi Chen",Jul 2025,"Modular multi-agent memory system with six memory types: Core, Episodic, Semantic, Procedural, Resource, and Knowledge Vault. Achieved 35% higher accuracy on benchmarks with 99.9% reduced storage. Supports multimodal memory.",https://arxiv.org/abs/2507.07957,5,multi-agent,"Six-type memory taxonomy (Core/Episodic/Semantic/Procedural/Resource/Vault) provides comprehensive architecture blueprint for our system",Medium
Paper,"CAST: Character-and-Scene Episodic Memory for Agents","Kexin Ma, Bojun Li, Yuhua Tang, Liting Sun, Ruochun Jin",Jan 2026,"Proposes episodic memory architecture inspired by dramatic theory. Constructs 3D scenes (time/place/topic) and character profiles. Combines episodic with graph-based semantic memory. Improved by 8.11% F1 and 10.21% judge score for open and time-sensitive questions.",https://arxiv.org/abs/2602.06051,3,episodic-memory,"Scene-based episodic memory (time/place/topic) maps well to our deployment episodes (timestamp/environment/issue-type)",Easy
Paper,"TraceMem: Weaving Narrative Memory Schemata from User Conversational Traces","Yiming Shu, Pei Liu, Tiange Zhang, Ruiyang Gao, Jun Ma, Chen Sun",Feb 2026,"Three-stage brain-inspired memory processing: Short-term Memory Processing, Synaptic Memory Consolidation, Systems Memory Consolidation. Creates structured narrative memory schemata. State-of-the-art on LoCoMo benchmark.",https://arxiv.org/abs/2602.09712,4,consolidation,"Three-stage consolidation pipeline (short-term → synaptic → systems) provides a template for our memory consolidation architecture",Medium
Paper,"Memento: Fine-tuning LLM Agents without Fine-tuning LLMs","Huichi Zhou et al.",Aug 2025,"Memory-based online reinforcement learning for agent adaptation without fine-tuning. Uses Memory-augmented MDP with neural case-selection policy. Achieved 87.88% Pass@3 on GAIA. Stores past experiences in episodic memory with rewriting for policy improvement.",https://arxiv.org/abs/2508.16153,4,episodic-memory,"Memory-based RL without fine-tuning — agents improve by better selecting from past experiences, applicable to our feedback loop design",Hard
Paper,"Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control","Alireza Rezazadeh, Zichao Li, Ange Lou, Yuying Zhao, Wei Wei, Yujia Bao",May 2025,"Framework for multi-user multi-agent memory sharing with private and shared tiers. Uses bipartite graphs for asymmetric dynamic access controls. Enables safe and interpretable cross-user knowledge sharing.",https://arxiv.org/abs/2505.18279,4,multi-agent,"Private + shared memory tiers with access control maps to our per-agent specialisation memory + shared knowledge pool",Medium
Paper,"Enhancing MCP with Context-Aware Server Collaboration","Meenakshi Amulya Jayanti, X.Y. Han",Jan 2026,"Proposes Context-Aware MCP (CA-MCP) with Shared Context Store (SCS) for autonomous server coordination. Reduces LLM calls and improves reliability in multi-agent workflows on TravelPlanner and REALM-Bench.",https://arxiv.org/abs/2601.11595,3,multi-agent,"MCP-based shared context store could be used for cross-agent memory sharing in our GitHub Actions pipeline",Medium
